Double Room	1	Turnham Green	Priory Avenue (1week deposit + 3weeks advance)	155	inclusive	W4	1 Month+
Double Room	2	Willesden Green	Staverton Road	155	exclusive	NW2 5HL	3 Months+
Double Room	1	Westbourne Park	Hazlewood Crescent	159	inclusive	W10	6 Months+
Double Room	1	Stepney Green	Mile End Road	160	inclusive	E1 4AA	6 Months+
Double Room	1	Shepherd's Bush	Shepherd's Bush	160	inclusive	W12	6 Months+
Double Room	1M	Barons Court	Margravine Gardens	160	inclusive	W6 9ST	6 Months+
Double Room	1	Muswell Hill	Osier Crescent	160	inclusive	N10	6 Months+
Double Room	1	Putney Bridge	Fulham Road	160	inc + elec	 	6 Months+
Double Room	2	Wandsworth	East Putney	160	inclusive	Sw18 2a	3 Months+
Double Room	2	Kennington	Kennington Lane	160	inclusive	SE11	6 Months+
Double Room	1F	Sloane Square/Battersea	Warriner Gardens	161	inclusive	SW11	3 Months+
Double Room	1F	Paddington	Chilworth Street	161	incl +elec	W2	3 Months+
Double Room	1F	Parsons Green	Novello Street (ensuite shower)	161	inclusive	SW6	6 Months+
Double Room	2	Acton Central	Goldsmith	161	inc + elec	W3	6 Months+
Double Room	2	Holland Park	Woodsford Square x2	161	inc + elec	W11	3 Months+
Double Room	2	Balham / Clapham South	Atkins Road	165	inclusive	SW12 0AA	3 Months+
Double Room	2	London Bridge (1 or 2)	Weston  Street  (free internet - has double bed plus single bed)	165	inc + elec	SE 1	6 Months+
Double Room	6	Kensal Green	Kensal Green (2x)	165	exclusive	NW10	6 Months+
Double Room	6	Kensal Green	Kensal Green (2x)	165	exclusive	NW10	6 Months+
Double Room	1	Earls Court	Longridge Road	170	inclusive	SW5	3 Months+
Double Room	1	Liverpool Street	Gibralter Walk, Brick Lane	170	inclusive	EC1	2 Weeks+
Double Room	2	Earls Court	Earls Court Road	170	inclusive	SW5	1 Month+
Double Room	1	Hyde Park	Hyde Park Gate	170	inclusive	SW7 5DW	6 Months+
Double Room	2	Woodside Park	Woodside Park	170	inclusive	N	3 Months+
Double Room	2	Edgware Road	Hyde Park Mansions Cabell St	170	inclusive	W2	6 Months+
Double Room	2	Ladbroke Grove	Ladbroke Grove	170	inclusive	W11	1 Month+
Double Room	2	Ladbroke Grove	North Pole Road	170	inclusive	W10 6QL	6 Months+
Double Room	2	Swiss Cottage	Swiss Cottage	170	inclusive	NW8	1 Month+
Double Room	2	Finchley Road	Greencroft Gardens	170	inclusive	NW6 3LN	6 Months+
Double Room	2	Finchley Road	Greencroft Gardens	170	inc + elec	NW6 3LN	6 Months+
Double Room	1	Shepherds Bush	Conningham Road	173	inclusive	W12	6 Months+
Double Room	1	Shepherds Bush	Conningham Road	173	inclusive	W12	6 Months+
Double Room	1	Fulham Broadway	Fulham Road, Chelsea	173	inclusive	SW6	3 Months+
Double Room	1	Westbourne Park/Royal Oak	Harrow Road	175	inclusive	W9 3RG	3 Months+
Double Room	1	Hammersmith	Hammersmith	175	inclusive	W6	6 Months+
Double Room	1	Shepherds Bush	Coningham Road, (4 available)	175	inclusive	W12 8BH	6 Months+
Double Room	2	 	Alpha House	180	inclusive	NW8	3 Months+
Double Room	1	Earls Court	Warwick Road	180	inclusive	SW5 9EZ	3 Months+
Double Room	1	/Hammersmith	Fulham Palace Road	180	inc +elec	SW6 6HS	1 Month+
Double Room	1	Gloucester Road	Cornwall Gardens	180	inclusive	SW7	3 Months+
Double Room	1	Earls Court	Finborough Road	180	inclusive	SW10 9ED	3 Months+
Double Room	1	Earls Court	Pennywern Road	180	inclusive	SW5	3 Months+
Double Room	1	Hammersmith	Fulham Palace Road	180	inclusive	W6	1 Month+
Double Room	1	Hyde Park	Hyde Park Gate	180	inclusive	SW7 5DW	6 Months+
Double Room	1	Hammersmith	Niton Street (viewing 1/10/14	180	inclusive	W6	3 Months+
Double Room	1	Gloucester Road/Earls Court	Cromwell Road	180	inclusive	SW5	1 Month+
Double Room	1	Chelsea	Cremorne Road	180	inclusive	SW10 0NA	2 Months+
Double Room	1F	Holland Park	St Annes Road, agnes house	180	inclusive	W11 4DR	3 Months+
Double Room	2	Fulham Broadway	Wandsworth Bridge Road(Â£200 for 2)	180	inclusive	SW6 2UL	3 Months+
Double Room	2	Clapham Common/ Clapham Junction	Sisters Avenue (Â£173 for 1 person)	180	inclusive	SW11 5SN	6 Months+
Double Room	2	Hammersmith	Melrose Gardens	180	inclusive	W6 7RN	6 Months+
Double Room	2	Earls Court	Finborough Road	180	inclusive	SW5	1 Month+
Double Room	2	Balham / Clapham South	Atkins Road	180	inclusive	SW12 0AA	3 Months+
Double Room	2	Muswell Hill	Osier Crescent	180	inclusive	N10	6 Months+
Double Room	2	Turnham Green	Chiswick High Road (Â£173 for 1 person)	184	inclusive	W4	3 Months+
Double Room	2	East Acton	Old Oak Common Lane	185	inclusive	W3 7DD	3 Months+
Double Room	1	Putney Bridge/Fulham (share sitting room)	Greswell Street	185	inc	SW6	3m +
Double Room	1	Ravenscourt Park	Upper Mall St	185	inclusive	W6	6 Months+
Double Room	1F	Bayswater/Royal Oak	Westbourne Park Road	185	inclusive	W2	3 Months+
Double Room	1	Putney Bridge	Greswell Street	185	inclusive	SW6 6pp	6 Months+
Double Room	2	Fulham Broadway (2 double rooms)	Dawes Road (185 for 2)	175	inclusive	SW6	6 Months+
Double Room	2	Holland Park	Woodford Square	185	+ 10 bills	W11	6 Months+
Double Room	2	Holland Park	Woodsford Square x2	185	inc + elec	W11	3 Months+
Double Room	2	Maida Vale	Elgin Avenue	185	inclusive	W9 2HB	6 Months+
Double Room	1	Earls Court	Penywern Road	180	inclusive	SW5 9TT	10 Months
Double Room	2	Clapham Common/ Clapham Junction	Sisters Avenue	190	inclusive	SW11 5SN	3 Months+
Double Room	2	Balham	Atkins Road (very large)	190	inclusive	SW12 OBE	3 Months+
Double Room	1	Old Street	Central Street	196	inclusive	EC1V 8BY	3 Months+
Double Room	1	Marylebone	Beaumont Street	196	exclusive	W1G 6DQ	3 Months+
Double Room	2	Holland Park	Woodford Square	196	+ 10 bills	W11	6 Months+
Double Room	2	Hyde Park	Hyde Park Gate	196	inclusive	SW7 5DW	6 Months+
Double Room	2	Maida Vale	Elgin Avenue	196	inclusive	W9 2HB	6 Months+
Double Room	1	Sloane Square	Kings Road	199	inclusive	SW3	6 Months+
Double Room	2	Kentish Town	Kentish  Town Road	200	inclusive	NW1 8NY	6 Months+
Double Room	1	Earls Court	Pennywern Road	200	inclusive	SW5	3 Months+
Double Room	1	Gloucester Road	Sherbourne Court, Cromwell Road	200	inclusive	Sw7	1 Month+
Double Room	1	Hammersmith	Fulham Palace Road	200	inclusive	W6	1 Month+
Double Room	2	Barons Court/West Kensington	Glazbury Road (170 for 1 - 5 rooms available))	200	inclusive	W14	1 Month+
Double Room	2	West Brompton/Fulham	Lillie Road (170 for 1 - 5 rooms available)	200	inclusive	W14	1 Month+
Double Room	2	Earls Court	Earls Court Road	200	inclusive	SW5	1 Month+
Double Room	2	Pimlico	Clarendon Street	200	inclusive	SW1	1 Month+
Double Room	2	Gloucester Road/Earls Court	Cromwell Road	200	inclusive	SW5	1 Month+
Double Room	2	Old Street	Old Street	201	inclusive	EC1V 8BY	6 Months+
Double Room	1	Angel/ Old Street	Lever Street	202	inclusive	EC1V 8BY	3 Months+
Double Room	1	Angel/ Old Street	Lever Street	207	inclusive	EC1V 8BY	3 Months+
Double Room	1	Old Street	Central Street	207	inclusive	EC1V 8BY	3 Months+
Double Room	2	Old Street	Old Street	207	inclusive	EC1V 8BY	6 Months+
Double Room	2	Earls Court	Pennywern Road (3 available)	210	inclusive	SW5 9TT	3 Months+
Double Room	2	Earls Court	Earls Court Road	210	inclusive	SW5	1 Month+
Double Room	2	Hyde Park	Hyde Park Gate	210	inclusive	SW7 5DW	6 Months+
Double Room	1	Earls Court	Nevern Square (proffesional flat share with 1)	219	inc + elec	SW5	3 Months+
Double Room	2	Hammersmith	Mylne Close (balcony)	219	inclusive	W2	6 Months+
Double Room	2	Victoria/Pimlico	Clarendon Street	220	inclusive	SW1V	1 Month+
Double Room	1	Gloucester Road	Sherbourne Court, Cromwell Road	230	inclusive	Sw7	1 Month+
Double Room	1	Belsize Park (own balcany)	Haverstock Hill (share luxury flat with 1)	230	exclusive	NW3 4RP	6 Months+
Double Room	2	Earls Court	Penywern Road (available1/9//14)	230	inclusive	SW5 9TT	10 Months
Double Room	2	Gloucester Road	Cromwell Road	230	inclusive	SW7	1 Month+
Double Room	2	Earls Court	Philbeach Gardens	230	inclusive	SW7	1 Month+
Double Room	2	Kensington Olympia	Elsham Road	245	inclusive	W14	3 Months+
Double Room	2	Gloucester Road/Earls Court	Cromwell Road	250	inclusive	SW5	6 Months+
Double Room	1	South Kensington	Beaufort Street	260	inclusive	SW3 5AF	6 Months+
Double Room	2	High St Kensington	Hornton St	300	inc + ct + elec	W8	6 Months+
Double Room	2	Gloucester Road	Harrington gardens	300	inc + elec	SW7	2 Weeks+
Double Ensuite	1	Kensington Olympia	Russell Road	190	inclusive	W14	3 Months+
Double Ensuite	1F	Sloane Square/Battersea	Warriner Gardens (view over gardens)	207	inclusive	SW11	1 Month+
Double Ensuite	1	Holland Park	Woodsford Square	208	inc + elec	W11	3 Months+
Double Ensuite	1	Gloucester Road	Cornwall Gardens	210	inclusive	SW7	1 Month+
Double Ensuite	3	Gloucester Road	Emperors Gate (just 2 months let until 18/9)	220	inc + elec	SW7	2 Months
Double Ensuite	2	Kensington Olympia	Russell Road	225	inclusive	W14	3 Months+
Double Ensuite	1	South Kensington (next to Christies	Old Brompton Road	250	inclusive	SW7	3 Months+
Double Ensuite	1	Gloucester Road	Cornwall Gardens	250	inclusive	SW7	1 Month+
Double Ensuite	2	South Kensington (av. 1/9)	Queensgate gardens	300	exclusive	Sw7 5RR	6 Months+
Double Ensuite	2	Lancaster Gate/Paddington	Westbourne Terrace	350	inc + elec	W2	2 Months
Twin Room	2	London Bridge (1 or 2)	Weston Road (free internet)	150	inc + elec	SE 1	6 Months+
Twin Room	2	London Bridge (1 or 2)	Weston Road (free internet - has double bed plus single bed)	165	inc + elec	SE 1	6 Months+
Twin Room	2F	Willesdon Green	Park Avenue	170	inclusive	NW2	3 Months+
Twin Room	2	Hammersmith	Rainville Road (view 22/9)	180	inclusive	W12	3 Months+
Twin Room	2	Turnham Green	Priory Avenue	180	inclusive	W4 1TZ	1 Month+
